name,year,latitude,longitude,city,region,cuisine,price,star
Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Austria,Creative,level-5,1
Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,Classic cuisine,level-5,1
Esszimmer,2019,47.80685,13.03409,Salzburg,Austria,Creative,level-5,1
Carpe Diem,2019,47.80001,13.04006,Salzburg,Austria,Market cuisine,level-5,1
Edvard,2019,48.216503,16.36852,Wien,Austria,Modern cuisine,level-4,1
Das Loft,2019,48.21272,16.37931,Wien,Austria,Modern cuisine,level-5,1
Pramerl & the Wolf,2019,48.20945,16.37174,Wien,Austria,Creative,level-5,1
Walter Bauer,2019,48.20923,16.37672,Wien,Austria,Classic cuisine,level-5,1
SHIKI,2019,48.204067,16.37098,Wien,Austria,Japanese,level-5,1
Tian,2019,48.20513,16.37456,Wien,Austria,Vegetarian,level-5,1
aend,2019,48.18957,16.34115,Wien,Austria,Modern cuisine,level-5,1
Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Wien,Austria,Classic cuisine,level-5,1
Chez TJ,2019,37.39468,-122.08044,South San Francisco,California,Contemporary,level-4,1
Protégé,2019,37.427853,-122.14362,South San Francisco,California,Contemporary,level-3,1
Madera,2019,37.42014,-122.21151,San Francisco,California,Contemporary,level-3,1
The Village Pub,2019,37.42897,-122.25178,San Francisco,California,Contemporary,level-3,1
Plumed Horse,2019,37.25648,-122.03537,South San Francisco,California,Contemporary,level-4,1
Wakuriya,2019,37.52114,-122.3366,San Francisco,California,Japanese,level-4,1
Sushi Yoshizumi,2019,37.565075,-122.3211,San Francisco,California,Japanese,level-4,1
Rasa,2019,37.577522,-122.345985,San Francisco,California,Indian,level-2,1
Maum,2019,37.72669,-122.414215,South San Francisco,California,Korean,level-4,1
Al's Place,2019,37.748924,-122.42013,San Francisco,California,Californian,level-2,1
Aster,2019,37.755054,-122.423134,San Francisco,California,Californian,level-3,1
Omakase,2019,37.77077,-122.40298,San Francisco,California,Japanese,level-4,1
Commonwealth,2019,37.761395,-122.41946,San Francisco,California,Contemporary,level-2,1
Luce,2019,37.78194,-122.40498,San Francisco,California,Contemporary,level-3,1
Birdsong,2019,37.779495,-122.41048,San Francisco,California,American,level-4,1
